"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells","dialogue_cleaned"
1040,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Yer a mess, Harry. Skulkin' 'round Knockturn Alley? Dodgy place! Don' want no one ter see you there. People'll think you were up to no good.","Yer a mess, Harry. Skulkin' 'round Knockturn Alley? Dodgy place! Don' want no one ter see you there. People'll think you were up to no good.","yer  mess harry skulkin round knockturn alley dodgy place don want  one ter see   peoplell think      good"
1054,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Molly Weasley","Female","Gryffindor","Human","Oh, Harry! Thank goodness! We'd hoped you'd only gone one grate too far","Oh, Harry! Thank goodness! We'd hoped you'd only gone one grate too far","oh harry thank goodness wed hoped youd  gone one grate  far"
1052,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Come on! Everyone's been so worried.","Come on! Everyone's been so worried.","come  everyones   worri"
1051,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Thank you. Bye.","Thank you. Bye.","thank  by"
1050,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Ok! Bye!","Ok! Bye!","ok by"
1076,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Clearly. Associating with Muggles and I thought your family could sink no lower. I'll see you at work.","Clearly. Associating with Muggles and I thought your family could sink no lower. I'll see you at work.","clearly associating  muggles   thought  family  sink  lower ill see   work"
1064,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Ginny Weasley","Female","Gryffindor","Human","Leave him alone.","Leave him alone.","leave  alon"
1066,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Now, now Draco, play nicely. Mr. Potter Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you.","Now, now Draco, play nicely. Mr. Potter Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you.","now now draco play nicely mr potter lucius malfoy  meet  last forgive   scar  legend   course   wizard  gave"
1075,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Arthur Weasley","Male","Gryffindor","Human","We have a very different idea about what disgraces the name of wizard, Malfoy.","We have a very different idea about what disgraces the name of wizard, Malfoy.","different idea   disgraces  name  wizard malfoi"
1047,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","What did you do to your glasses? Oculus reparo.","What did you do to your glasses? Oculus reparo.","glasses oculus reparo"
1044,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Hello, Hermione!","Hello, Hermione!","hello hermion"
1042,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Me? Oh, I was um I was lookin' for Flesh-Eatin' Slug Repellent. They're ruinin' all the school cabbages.","Me? Oh, I was um I was lookin' for Flesh-Eatin' Slug Repellent. They're ruinin' all the school cabbages.","oh   um   lookin  flesheatin slug repellent theyre ruinin   school cabbag"
1041,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","I was lost, I- hang on. What were you doing down there, then?","I was lost, I- hang on. What were you doing down there, then?","lost  hang"
1068,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Hmm. You must be very brave, to mention his nameor very foolish.","Hmm. You must be very brave, to mention his nameor very foolish.","hmm  must   brave  mention  nameor  foolish"
1069,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Fear of a name only increase fear of the thing itself.","Fear of a name only increase fear of the thing itself.","fear   name  increase fear   thing"
1073,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Arthur Weasley","Male","Gryffindor","Human","Lucius.","Lucius.","luciu"
1063,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page.","I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page.","ill bet  loved  didnt  potter famous harry potter cant even go   bookshop without making  front pag"
1045,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Oh, it's so good to see you!","Oh, it's so good to see you!","oh   good  see"
1067,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Voldemort killed my parents. He was nothing more than a murderer.","Voldemort killed my parents. He was nothing more than a murderer.","voldemort killed  parents   nothing    murder"
1055,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Other","","","","Ladies and gentlemen, Mr. Gilderoy Lockhart.","Ladies and gentlemen, Mr. Gilderoy Lockhart.","ladies  gentlemen mr gilderoy lockhart"
1065,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","Oh look, Potter. You've got yourself a girlfriend.","Oh look, Potter. You've got yourself a girlfriend.","oh look potter youve got   girlfriend"
1043,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Harry! Hagrid!","Harry! Hagrid!","harry hagrid"
1048,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","I definitely need to remember that one.","I definitely need to remember that one.","definitely need  remember  on"
1049,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","You'll be all right now then, Harry? Right. I'll leave you to it, then.","You'll be all right now then, Harry? Right. I'll leave you to it, then.","youll   right now  harry right ill leave"
145,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Uh, Hagrid, what exactly are these things?","Uh, Hagrid, what exactly are these things?","uh hagrid  exactly   th"
155,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Stand back.","Stand back.","stand back"
6887,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.","It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.","hot  eyes turn   bowl wobbling madly   floor   splits apart  begins  multipli"
6905,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","I've got something. But it's mad.","I've got something. But it's mad.","ive got something   mad"
153,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","What's in there, Hagrid?","What's in there, Hagrid?","whats   hagrid"
6864,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","You don't say.  Just out of interest... is there any other way out of here?","You don't say.  Just out of interest... is there any other way out of here?","dont say  just   interest     way"
151,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Didn't think your mum and dad would leave you with nothing now, did ya?","Didn't think your mum and dad would leave you with nothing now, did ya?","didnt think  mum  dad  leave   nothing now  ya"
147,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","And does Mr. Harry Potter have his key?","And does Mr. Harry Potter have his key?","mr harry potter   kei"
6898,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","I said I'd get you in. I never said anything about getting you out.","I said I'd get you in. I never said anything about getting you out.","said id get    never said anything  getting"
6894,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Harry! Behind you!","Harry! Behind you!","harry behind"
152,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Vault 713.","Vault 713.","vault"
6902,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","That's unfortunate.","That's unfortunate.","thats unfortun"
149,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Very well.","Very well.","well"
6835,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Identification.","Identification.","identif"
148,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.","Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.","oh wait  minute got   somewhere hah theres  little devil  oh  theres something else  well  professor dumbledore gave      youknowwhat  vault youknowwhich"
144,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.","Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.","well theres  money harry  gringotts  wizard bank taint  place safer cept perhaps hogwart"
6886,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Is it here, Harry? Can you feel anything?","Is it here, Harry? Can you feel anything?","harry can  feel anyth"
6852,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","But... Bogrod, there have been special instructions regarding the Lestrange vault.","But... Bogrod, there have been special instructions regarding the Lestrange vault.","bogrod    special instructions regarding  lestrange vault"
6841,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","They know!","They know!","know"
6891,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","How're we going to reach it?","How're we going to reach it?","howre  going  reach"
6860,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","What is that, Griphook?","What is that, Griphook?","griphook"
6854,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Yes, sir, but our instructions are very specific --","Yes, sir, but our instructions are very specific --","yes sir   instructions   specific"
6874,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Go on.","Go on.","go"
146,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.","They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.","theyre goblins harry clever   come goblins     friendly  beasts best stick close    mr harry potter wishes  make  withdraw"
6909,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It doesn't realize it's free!","It doesn't realize it's free!","doesnt realize  fre"
156,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Best not mention this to anyone, Harry.","Best not mention this to anyone, Harry.","best  mention   anyone harri"
6840,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","He's with me.","He's with me.","hes"
143,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","But, Hagrid, how am I to pay for all this? I haven't any money.","But, Hagrid, how am I to pay for all this? I haven't any money.","hagrid     pay     havent  monei"
6872,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Bloody hell. That's a Welsh Green.","Bloody hell. That's a Welsh Green.","bloody hell thats  welsh green"
6868,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --","Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --","griphook    rights  anymore   gave   keys"
154,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Can't tell you, Harry. It's Hogwarts business. Very secret.","Can't tell you, Harry. It's Hogwarts business. Very secret.","cant tell  harry  hogwarts business  secret"
150,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Vault 687. Lamp, please.  Key please.","Vault 687. Lamp, please.  Key please.","vault  lamp please  key pleas"
6879,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Hm? Oh. Yes. Of course.","Hm? Oh. Yes. Of course.","hm oh yes  cours"
6862,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Well done. Hey.","Well done. Hey.","well done hei"
6848,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","No, I most certainly do not understand --","No, I most certainly do not understand --","certainly   understand"
6883,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Blimey...","Blimey...","blimei"
6880,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Lumos !"," !","lumos"
6873,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It looks like it's been down here forever.","It looks like it's been down here forever.","looks like     forev"
6876,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","That's barbaric. I...","That's barbaric. I...","thats barbaric"
6843,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","They know she's an imposter! They've been warned!","They know she's an imposter! They've been warned!","know shes  imposter theyve  warn"
6844,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Madam Lestrange. Would you mind presenting your wand?","Madam Lestrange. Would you mind presenting your wand?","madam lestrange   mind presenting  wand"
6837,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","I see. Very well. Excuse me, won't you?","I see. Very well. Excuse me, won't you?","see  well excuse  wont"
6846,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Harry, what do we do? Harry...?","Harry, what do we do? Harry...?","harry     harri"
6885,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","No wonder Bellatrix thought it was real.","No wonder Bellatrix thought it was real.","wonder bellatrix thought   r"
6850,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Imperio.",".","imperio"
6849,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","I'm afraid I must insist.","I'm afraid I must insist.","im afraid  must insist"
6907,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","That's your idea?","That's your idea?","thats  idea"
6867,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","We need him!","We need him!","need"
6904,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","You're asking us? You're the brilliant one.","You're asking us? You're the brilliant one.","youre asking us youre  brilliant on"
6845,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","And why should I do that?","And why should I do that?",""
6830,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!","Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!","good morning good morning youre bellatrix lestrange   dewyeyed schoolgirl"
6834,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","C'mon. Let's do it.","C'mon. Let's do it.","cmon lets"
6900,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Thieves! Help! Thieves!","Thieves! Help! Thieves!","thieves help thiev"
6882,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Lumos !"," !","lumos"
6890,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","That's it. Up there.","That's it. Up there.","thats"
6897,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","We have a deal, Griphook.","We have a deal, Griphook.","deal griphook"
6858,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","What's that? Up ahead.","What's that? Up ahead.","whats   ahead"
6853,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.","I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.","im fully aware   im also aware  lestranges  one   oldest   respected famili"
6877,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","We'll only have a few seconds. In other words... they'll be no do-","We'll only have a few seconds. In other words... they'll be no do-","well     seconds   words theyll"
6892,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Give me the sword! The real one.","Give me the sword! The real one.","give   sword  real on"
6861,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Griphook! What is that!","Griphook! What is that!","griphook"
6878,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Ready, Bogrod?","Ready, Bogrod?","ready bogrod"
6869,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Imperio!","!","imperio"
6836,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","I wish to enter my vault.","I wish to enter my vault.","wish  enter  vault"
6851,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Very well, Madam Lestrange. If you will follow me.","Very well, Madam Lestrange. If you will follow me.","well madam lestrange   will follow"
6859,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","I should have known --","I should have known --","known"
6881,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Lumos !"," !","lumos"
6833,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","He's right. I was being stupid.","He's right. I was being stupid.","hes right    stupid"
6855,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!","Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!","let   specific   ricbert ive run  bank  fortyfive years long  anyone  even heard   death eater  day may come   feel  can run  place better     day   yet arrived   understood"
6863,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","The Thief's Downfall. Washes away all enchantments. Can be deadly.","The Thief's Downfall. Washes away all enchantments. Can be deadly.","thiefs downfall washes away  enchantments can  deadli"
